Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
bargu,"
'''bargu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an arch over or around  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo bargu''' — arch. 
:'''i lei tricu cu bargu le dargu''' — ''The trees form an arch over the road.''
:Related words: {cripu}, {korcu}, {condi}",,,,,,bargu,yes,,General. Shapes,,,,x<sub>1</sub>,is an arch over or around ,x<sub>2</sub>,,,,,,,,,arch,,,,,"{cripu}, {korcu}, {condi}",entity,entity,,,,,,, ...,"x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3 ||| [also arc; x2 need not be an object, but may be a point or volume]; (cf. cripu, kruvi, korcu, condi)",3
barja,"
'''barja''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bar serving  ''x<sub>2</sub><sub>(entity)</sub>''  to customers  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo barja''' — bar. 
:'''i ti barja lo ckafi lo litru''' — ''This is a bar serving coffee to tourists.''
:Related words: {gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, {se} {pinxe}",,,,,x1 stuzi lo nu x2 noi selpinxe cu se vecnu ja se sabji fi x3 gi'e se pinxe x3,barja,yes,Socio. Specific types of buildings,,has full-set/member place,,,x<sub>1</sub>,is a bar serving ,x<sub>2</sub>,to customers ,x<sub>3</sub>,,,,,,,bar,,,,,"{gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, {se} {pinxe}",entity,entity,entity,,,,,,,"x1 is a tavern/bar/pub serving x2 to audience/patrons x3 ||| (cf. gusta, birje, jikru, sanmi, vanju, xotli, ckafi, se pinxe)",3
barna,"
'''barna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mark, spot on  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo barna''' — mark, spot. 
:'''i le barna be le kamju cu flalu barna le dargu''' — ''The mark on the pillar is a road sign.''
:Related words: {sinxa}, {pixra}, {se} {ciska}, {se} {prina}",,,,,x1 selviska'e prina ja skuro ja tcila lo sefta be x2,barna,yes,,General. Shapes,,,,x<sub>1</sub>,"is a mark, spot on ",x<sub>2</sub>,,,,,,,,,"mark, spot",,,,,"{sinxa}, {pixra}, {se} {ciska}, {se} {prina}",entity,entity,,,,,,, ...,"x1(s) is a/are mark(s)/spot(s) on x2 of material x3 ||| [ba'armo'a for a pattern of marks]; (cf. sinxa, pixra, se ciska, se prina)",3
bartu,"
'''bartu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is outside of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bartu''' — something outside. '''lo se bartu''' — something inside. 
:'''i ei mi klama lo bartu be lo zdani''' — ''I should go out.''
:Related words: {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}",,,,,no pagbu be x1 cu zvati x2,bartu,yes,General. Location & direction,,,,,x<sub>1</sub>,is outside of ,x<sub>2</sub>,,,,,,,,,something outside,something inside,,,,"{jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}",entity,entity,,,,,,,,"x1 is on the outside of x2; x1 is exterior to x2 ||| (cf. jibni, nenri, sruri, lamji, korbi, calku, vasru)",2
basna,"
'''basna''' — ''x<sub>1</sub><sub>(entity)</sub>''  emphasizes  ''x<sub>2</sub><sub>(entity)</sub>''  by action  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo se basna''' — emphasis (something emphasized). 
:'''i mi pu basna lo nu lo nu ca'o gunka cu vajni vau lo ka cladu cusku''' — ''I emphasized the importance of continuing to work by saying it aloud.''",,,,,,basna,yes,,Psycho. Attitude,,,,x<sub>1</sub>,emphasizes ,x<sub>2</sub>,by action ,x<sub>3</sub>,,,,,,,,emphasis (something emphasized),,,,,entity,entity,property of x1,,,emphasize [to],,,,x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3 ||| [also: say forcefully] (cf. pandi),3
basti,"
'''basti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a replacement for  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> is instead of x<sub>2</sub> ...
:'''lo basti''' — replacement (object). '''lo se basti''' — something replaced. 
:'''i ma ba basti do''' — ''Who will replace you?''
:Related words: {se} {ba'i}, {binra}",,,,,x1 pu na je ca ckaji x3 noi pu je nai ca se ckaji x2,basti,yes,Actions. Event changes,,,,,x<sub>1</sub>,is a replacement for ,x<sub>2</sub>,,,,,,,x<sub>1</sub> is instead of x<sub>2</sub>,,replacement (object),something replaced,,,,"{se} {ba'i}, {binra}",entity,entity,,,,replace (be replacement) [to],,, ...,"x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute ||| [also: x1 trades places with x2]; (cf. cmavo list ba'i, binra)",3
batci,"
'''batci''' — ''x<sub>1</sub><sub>(entity)</sub>''  bites or pinches  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo se batci''' — bitten. 
:'''i pa gerku pu batci mi re'o lo tuple''' — ''A dog bit me in the leg.''
:Related words: {denci}, {jgalu}, {guska}, {citka}",,,,,x1 gasnu lo nu x4 noi pagbu x1 cu tunta x3 noi pagbu x2,batci,yes,,,Actions. Physical matter,,,x<sub>1</sub>,bites or pinches ,x<sub>2</sub>,,,,,,,,,,bitten,,,,"{denci}, {jgalu}, {guska}, {citka}",entity,entity,,,,"bite [to], pinch [to]",,, ...,"x1 bites/pinches x2 on/at specific locus x3 with x4 ||| [bite through (= ka'arbatci, batygre); pinch (= cinzybatci)]; (cf. denci, jgalu, guska, citka)",4
batke,"
'''batke''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a button or knob on  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo batke''' — button. 
:'''i ra pu ru'i jgari pa batke be lo kosta pe vo'a''' — ''He was holding a button of his coat.''
:Related words: {jadni}, {balji}, {punji}, {jgari}, {lasna}",,,,,,batke,yes,Socio. Tools,,,,,x<sub>1</sub>,is a button or knob on ,x<sub>2</sub>,,,,,,,,,button,,,,,"{jadni}, {balji}, {punji}, {jgari}, {lasna}",entity,entity,,,,,,, ...,"x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4 ||| (cf. jadni, balji, punji, jgari, lasna)",4
bavmi,"
'''bavmi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some barley of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bavmi''' — barley. 
:'''i lo bavmi cu ralju se cupra bu'u''' — ''Barley is the main product here.''
:Related words: {gurni}",,,,,x1 gurni ja spati x2 noi jutsi la'o jutygunma Hordeum jutygunma,bavmi,yes,Living. Food. Grains,,,,,x<sub>1</sub>,is some barley of species ,x<sub>2</sub>,,,,,,,,,barley,,,,,{gurni},entity,taxon,,,,,,,,x1 is a quantity of barley [grain] of species/strain x2 ||| (cf. gurni),2
,,,,,,,baxso,,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Malay-Indonesian in ,x<sub>2</sub>,,,,,,,,,Malaysian,,,,,"{meljo}, {bindo}",entity,property of x1,,,,,,,,,
bebna,"
'''bebna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is foolish, stupid in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo bebna''' — fool, stupid. '''lo se bebna''' — foolish action. 
:'''i ko na bebna lo ka fe da ca'o cusku''' — ''Don't be silly in repeating the same.''
:Related words: {fenki}, {xajmi}, {prije}, {fliba}",,,,,x1 zukte ja tarti x2 noi fenki .i x1 to'e prije x2,bebna,yes,Psycho. Personality trait (mind),,,,,x<sub>1</sub>,"is foolish, stupid in ",x<sub>2</sub>,,,,,,,,,"fool, stupid",foolish action,,,,"{fenki}, {xajmi}, {prije}, {fliba}",entity,property of x1,,,,,,,,"x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob ||| (cf. fenki, xajmi, prije, fliba)",2
bekpi,"
'''bekpi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the back, dorsum, 'posterior' body-part of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bekpi''' — back (of body). 
:'''i lo bekpi be mi za'o se cortu''' — ''My back still hurts.''
:Comment: not necessarily at the back of body (determined by bilateral symmetry of the body).
:Related words: {trixe}, {cutne}",,,,,,bekpi,yes,,,,,,x<sub>1</sub>,"is the back, dorsum, 'posterior' body-part of ",x<sub>2</sub>,,,,,,,,not necessarily at the back of body (determined by bilateral symmetry of the body).,back (of body),,,,,"{trixe}, {cutne}",entity,entity,,,,,,,,,
bemro,"
'''bemro''' — ''x<sub>1</sub><sub>(entity)</sub>''  is North American in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo bemro''' — North American. 
:'''i mi nelci lo bemro tumla''' — ''I like North American lands.''
:Related words: {merko}, {ketco}",,,,,,bemro,yes,Geography. Continents,,,,,x<sub>1</sub>,is North American in ,x<sub>2</sub>,,,,,,,,,North American,,,,,"{merko}, {ketco}",entity,property of x1,,,,,,,,"x1 reflects North American culture/nationality/geography in aspect x2 ||| (cf. merko, kadno, xispo, mexno)",2
bende,"
'''bende''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a team or crew of persons  ''x<sub>2</sub><sub>(entity group)</sub>''  led by  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo bende''' — team (crew). '''lo se bende''' — member of a team. '''lo te bende''' — leader of a team. 
:'''i mi cmima pa bende be lo stati prenu bei la robin bei te fi'e lo ka tadni la lojban''' — ''I am a member of a team of smart people led by Robin and learning Lojban.''
:Related words: {gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}",,,"_-(x1 is a mass; x2 is a set completely specified); Also orchestra (= {zgibe'e}, {balzgibe'e}), outfit; x3 conductor; business, not necessarily incorporated (= {cajbe'e}, {venbe'e}). See also {gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}.","_+(x1 is a mass; x2 is completely specified); Also orchestra (= {zgibe'e}, {balzgibe'e}), outfit; x3 conductor; business, not necessarily incorporated (= {cajbe'e}, {venbe'e}). See also {gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}.",x1 gunma x2 noi prenu gi'e se gidva x3 x4,bende,yes,General. Groups & parts,,has full-set/member place,,,x<sub>1</sub>,is a team or crew of persons ,x<sub>2</sub>,led by ,x<sub>3</sub>,,,,,,,team (crew),member of a team,leader of a team,,,"{gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}",entity,entity group,entity,,,,,, ...,"x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4 ||| (x1 is a mass; x2 is a set completely specified); [also orchestra (= zgibe'e, balzgibe'e), outfit; x3 conductor; business, not necessarily incorporated (= cajbe'e, venbe'e)]; (cf. gunma, girzu, dansu, jatna, jitro, kagni, kamni, minde, ralju, cecmu, gidva)",4
,,,,,,,bengo,,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Bengal in ,x<sub>2</sub>,,,,,,,,,Bengali,,,,,{xindo},entity,property of x1,,,,,,,,,
benji,"
'''benji''' — ''x<sub>1</sub><sub>(entity)</sub>''  transmits  ''x<sub>2</sub><sub>(entity)</sub>''  to receiver  ''x<sub>3</sub><sub>(entity)</sub>''  from origin  ''x<sub>4</sub><sub>(entity)</sub>''  via  ''x<sub>5</sub><sub>(entity)</sub>''
:'''lo benji''' — transmitter. '''lo te benji''' — transmission receiver. '''lo ve benji''' — origin of a transmission. '''lo xe benji''' — medium of transmission. 
:'''i mi ba benji lo xatra do fu la internet fo lo skami pe lo mi zdani''' — ''I will send you a letter via the internet from my home computer.''
:'''i pa gunka pu benji pa sinxa pa drata gunka lo galtu lo sance''' — ''A worker sent a sound signal to another worker from the above.''
:Comment: @@@transmitter@@@ in English can denote both {lo} {benji} and {lo} {xe} {benji}.
:Related words: {muvdu}, {dunda}, {mrilu}, {nirna}, {volta}, {cradi}, {tivni}, {preja}, {be'i}, {bevri}, {mrilu}, {tcana}",,,,,x1 cfagau lo nu x2 muvdu x3 fi x4,benji,yes,,,Actions. Movement,,,x<sub>1</sub>,transmits ,x<sub>2</sub>,to receiver ,x<sub>3</sub>,from origin ,x<sub>4</sub>,via ,x<sub>5</sub>,,@@@transmitter@@@ in English can denote both {lo} {benji} and {lo} {xe} {benji}.,transmitter,,transmission receiver,origin of a transmission,medium of transmission,"{muvdu}, {dunda}, {mrilu}, {nirna}, {volta}, {cradi}, {tivni}, {preja}, {be'i}, {bevri}, {mrilu}, {tcana}",entity,entity,entity,entity,entity,"transmit [to], send [to]",,,,"x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5 ||| [also possibly ""sharing""; no (complete) alienation from origin is implied]; [x5 carrier]; (cf. muvdu, dunda, mrilu, nirna, xruti, cradi, tivni, preja, cmavo list be'i, bevri, mrilu, tcana)",5
bersa,"
'''bersa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a son of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bersa''' — son. '''lo se bersa''' — parent of a son. 
:'''i mi se bersa re da''' — ''I have two sons.''
:Related words: {tixni}, {se} {rirni}, {verba}, {nanla}, {nakni}, {patfu}, {bruna}",,,,,x1 nakni gi'e se rirni x2,bersa,yes,Living. Family,,Links,,,x<sub>1</sub>,is a son of ,x<sub>2</sub>,,,,,,,,,son,parent of a son,,,,"{tixni}, {se} {rirni}, {verba}, {nanla}, {nakni}, {patfu}, {bruna}",entity,entity,,,,,,,,"x1 is a son of mother/father/parents x2 [not necessarily biological] ||| [also filial]; (cf. verba, nanla, nakni, nanmu, patfu, mamta, bruna, rirni, rorci, panzi, tixnu)",2
berti,"
'''berti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is to the northern side of  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo berti''' — northern. 
:'''i za'u pa purdi be fi lo grute cu berti le tcadu''' — ''Fruit gardens are to the north of the city.''
:Related words: {snanu}, {stici}, {stuna}, {farna}",,,,,x1 zunle x2 lo solnuntolcanci noi stuna .i x1 to'e snanu x2,berti,yes,General. Location & direction,,,,,x<sub>1</sub>,is to the northern side of ,x<sub>2</sub>,,,,,,,,,northern,,,,,"{snanu}, {stici}, {stuna}, {farna}",entity,entity,,,,,,, ...,"x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3 ||| (cf. snanu, stici, stuna, farna)",3
besna,"
'''besna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a brain of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo besna''' — brain. 
:'''i ro remna da se besna''' — ''All humans have brains.''
:Related words: {menli}, {stedu}, {rango}, {pensi}",,,,,x1 pagbu lo ralju ciste be lo nirna be x2 gi'e se vasru lo stedu gi'e jitro lo menli jo'u xadni nu tarti,besna,yes,Living. Internal organs,,,,,x<sub>1</sub>,is a brain of ,x<sub>2</sub>,,,,,,,,,brain,,,,,"{menli}, {stedu}, {rango}, {pensi}",entity,entity,,,,,,,,"x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control] ||| [also cerebral]; (cf. menli, stedu, rango, pensi)",2
betfu,"
'''betfu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a belly, abdomen, lower trunk of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo betfu''' — abdomen, belly. 
:'''i lo betfu be mi cu se cortu''' — ''My belly hurts.''
:Related words: {cutne}, {livga}, {canti}",,,,,x1 midju pagbu lo xadni be x2 gi'e vasru lo stomaxu jo'u lo canti  ,betfu,yes,Living. External anatomy,,,,,x<sub>1</sub>,"is a belly, abdomen, lower trunk of body ",x<sub>2</sub>,,,,,,,,,"abdomen, belly",,,,,"{cutne}, {livga}, {canti}",entity,entity,,,,,,,,"x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection] ||| [also stomach (= djaruntyrango), digestive tract (= befctirango, befctirangyci'e)]; (cf. cutne, livga, canti)",2
betka,"
'''betka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a beet of variety  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo betka''' — beet. 
:'''i ti na ciblu gi'e ja'a betka''' — ''It's not blood. It's beet.''
:Related words: {stagi}",,,,,,betka,yes,Living. Food. Grains,,,,,x<sub>1</sub>,is a beet of variety ,x<sub>2</sub>,,,,,,,,,beet,,,,,{stagi},entity,taxon,,,,,,,,,
betri,"
'''betri''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a tragedy for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo betri''' — tragedy. 
:'''i pu betri le nakni fa lo ka co'u se bersa lo ro pa mei''' — ''It was a tragedy for him to lose his only son.''
:Related words: {badri}, {xlali}, {morsi}, {binra}",,,,,,betri,yes,,Psycho. Emotion,,,,x<sub>1</sub>,is a tragedy for ,x<sub>2</sub>,,,,,,,,,tragedy,,,,,"{badri}, {xlali}, {morsi}, {binra}",property of x2,entity,,,,,,,,"x1 is a tragedy/disaster/tragic for x2 ||| (cf. badri, xlali, morsi, binra)",2
bevri,"
'''bevri''' — ''x<sub>1</sub><sub>(entity)</sub>''  brings, transports  ''x<sub>2</sub><sub>(entity)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>''  from  ''x<sub>4</sub><sub>(entity)</sub>''  by path  ''x<sub>5</sub><sub>(entity)</sub>''
:'''lo bevri''' — carrier. '''lo se bevri''' — cargo. 
:'''i mi pu bevri pa patxu be lo nudle fu'e ta'o fi pa purdi fo pa nu jukpa vau kumfa fu pa rokci dargu fu'o''' — ''I carried a bowl of noodles (to the garden from the kitchen via a rocky road).''
:'''i la kevin pu bevri pa gerku lo zdani''' — ''Kevin brought a dog home.''
:'''i mi pu bevri pa fonxa fo pa daski''' — ''I took the phone out of the pocket.''
:Related words: {bevri}, {marce}, {muvdu}, {benji}, {klama}",,,,,x1 jgari ja se cpana ja marce x2 gi'e gasnu lo nu x2 muvdu x3 boi x4 boi x5,bevri,yes,,,Actions. Movement,,,x<sub>1</sub>,"brings, transports ",x<sub>2</sub>,to ,x<sub>3</sub>,from ,x<sub>4</sub>,by path ,x<sub>5</sub>,,,carrier,cargo,,,,"{bevri}, {marce}, {muvdu}, {benji}, {klama}",entity,entity,entity,entity,entity,"bring [to], transport [to], carry [to], bear [to]",,,,"x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter] ||| [alienation from x2 to x3 is implied]; (cf. marce, muvdu, benji, klama)",5
bidju,"
'''bidju''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bead, pebble ...
:'''lo bidju''' — pebble, bead. 
:'''i mu bidju pu zvati ti''' — ''There were five pebbles here.''
:Related words: {bolci}, {canre}, {lakse}, {dirgo}",,,,,,bidju,yes,,General. Shapes,,,,x<sub>1</sub>,"is a bead, pebble",,,,,,,,,,"pebble, bead",,,,,"{bolci}, {canre}, {lakse}, {dirgo}",entity,,,,,,,, ...,"x1 is a bead/pebble [shape/form] of material x2 ||| (cf. bolci, canre, lakse, dirgo)",2
bifce,"
'''bifce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bee or wasp of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bifce''' — bee, wasp. 
:'''i lo bifce cu vofli ne'a lo flora''' — ''Bees are flying near the flowers.''
:Related words: {cinki}, {sfani}, {lakse}",,,,,,bifce,yes,Living. Arthropods,,,,,x<sub>1</sub>,is a bee or wasp of species ,x<sub>2</sub>,,,,,,,,,"bee, wasp",,,,,"{cinki}, {sfani}, {lakse}",entity,taxon,,,,,,,,"x1 is a bee/wasp/hornet of species/breed x2 ||| (cf. cinki, sfani, lakse)",2
bikla,"
'''bikla''' — ''x<sub>1</sub><sub>(entity)</sub>''  whips, lashes
:'''lo bikla''' — whip. 
:'''i lo carvi pu bikla ta'i lo ka janli pa canko''' — ''The rain whipped against the window.''
:Related words: {skori}, {darxi}",,,,,x1 vlile je suksa fi lo ka muvdu,bikla,yes,,,Actions. Physical matter,,,x<sub>1</sub>,"whips, lashes",,,,,,,,,,whip,,,,,"{skori}, {darxi}",entity,,,,,"whip [to], lash [to]",,,,"x1 whips/lashes/snaps [a sudden violent motion] ||| (cf. skori, darxi)",
bilga,"
'''bilga''' — ''x<sub>1</sub><sub>(entity)</sub>''  is obligated to do  ''x<sub>2</sub><sub>(property of x1)</sub>''  by agreement  ''x<sub>3</sub><sub>(proposition)</sub>'' 
:'''lo se bilga''' — obligation, duty. 
:'''i mi bilga lo ka jai gau volta fai ti noi cukta vau ca lo cabdei vau pa pu se nupre be mi''' — ''I must return this book today fulfilling my earlier promise.''
:Related words: {zifre}, {fuzme}",,,,,lo nu x1 zukte ja ckaji x2 cu sarcu lo nu x1 tinbe x3 noi flalu ja javni ja marde .i x3 se jalge lo nu x1 na zifre lo ka na zukte ja ckaji x2,bilga,yes,,Psycho. Emotion,,,,x<sub>1</sub>,is obligated to do ,x<sub>2</sub>,by agreement ,x<sub>3</sub>,,,,,,,,"obligation, duty",,,,"{zifre}, {fuzme}",entity,property of x1,proposition,,,must ,,,,"x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2 ||| [also x3 frame of reference]; (cf. zifre, fuzme)",3
bilma,"
'''bilma''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ill, sick with symptoms  ''x<sub>2</sub><sub>(property of x1)</sub>''  from disease  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo bilma''' — ill. '''lo se bilma''' — symptom of an illness. '''lo te bilma''' — disease. 
:'''i ra pu terpa lo ka co'a bilma fi la zukam''' — ''She was afraid to catch a cold.''
:'''i mi bilma lo ka cortu lo denci vau lo influ'enza''' — ''I've got the flu and my teeth hurt.''
:Related words: {kanro}, {mikce}, {spita}, {senci}, {kafke}, {binra}",,,,,x1 na'e kanro gi'e jarco x2 noi jalge x3 noi nu spofu fa lo rango ja pagbu be lo xadni be x1,bilma,yes,Living. Health & medicine,,,,,x<sub>1</sub>,"is ill, sick with symptoms ",x<sub>2</sub>,from disease ,x<sub>3</sub>,,,,,,,ill,symptom of an illness,disease,,,"{kanro}, {mikce}, {spita}, {senci}, {kafke}, {binra}",entity,property of x1,clause,,,,,,,"x1 is ill/sick/diseased with symptoms x2 from disease x3 ||| (cf. kanro, mikce, spita, senci, kafke, binra)",3
