particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
te ka'a,"
'''te ka'a''' <small>[preposition from {te} {klama}]</small> — @@@going from ...@@@
:'''i mi pu bajra te ka'a le za'u mei''' — ''I ran away from them.''
:Comment: in the clause where {te}{ka'a} is used x<sub>1</sub> is the one who goes.",te ka'a,preposition from {te} {klama},@@@going from ...@@@,in the clause where {te}{ka'a} is used x<sub>1</sub> is the one who goes,preposition from {te} {klama},,,,,BAI*,yes,preposition,,going from ...,,,"klama modal, 1st place gone to by ...",te ka'a,"
'''te ka'a''' <small>[preposition from {te} {klama}]</small> — @@@going from ...@@@
:'''i mi pu bajra te ka'a le mi'u za'u mei''' — ''I ran away from them.''
:Comment: in the clause where {te}{ka'a} is used x<sub>1</sub> is the one who goes.",te ka'a,preposition from {te} {klama},@@@going from ...@@@,in the clause where {te}{ka'a} is used x<sub>1</sub> is the one who goes,preposition from {te} {klama},,,,,BAI*,yes,preposition,,going from ...,,,,,,
ka'ai,"
'''ka'ai''' <small>[preposition from {kansa}]</small> — @@@with ...@@@, @@@with a companion ...@@@
:'''i mi cadzu ka'ai lo gerku''' — ''I walk with a dog.''",ka'ai,preposition from {kansa},"@@@with ...@@@, @@@with a companion ...@@@",,preposition from {kansa},,,,,BAI,yes,preposition,,"with ... (together), with a companion ..., together with ...",,,"kansa modal, 1 place; with .../with a companion ...",ka'ai,"
'''ka'ai''' <small>[experimental preposition from {kansa}]</small> — @@@with ...@@@, @@@with a companion ...@@@
:'''i mi cadzu ka'ai le gerku''' — ''I walk with a dog.''",ka'ai,preposition from {kansa},"@@@with ...@@@, @@@with a companion ...@@@",,preposition from {kansa},,,,,BAI,exp,preposition,,"with ... (together), with a companion ..., together with ...",,,,,,
kai,"
'''kai''' <small>[preposition from {ckaji}]</small> — @@@characterizing ..., with ... having this property@@@
:'''i zildukse kai lo kilto be lo grake''' — ''One kilogram was too much.''
:Comment: in the clause where {kai} is used the first unfilled place is applied to the noun that {kai} tags, the clause itself is the property characterizing the noun after {kai}; subject case tag.",kai,preposition from {ckaji},"@@@characterizing ..., with ... having this property@@@","in the clause where {kai} is used the first unfilled place is applied to the noun that {kai} tags, the clause itself is the property characterizing the noun after {kai}; subject case tag",preposition from {ckaji},,,,,BAI,yes,preposition,,characterizing ...,,,"ckaji modal, 1st place characterizing ...",kai,"
'''kai''' <small>[preposition from {ckaji}]</small> — @@@characterizing ..., with ... having this property@@@
:'''i zildukse kai le kilto be le grake''' — ''One kilogram was too much.''
:Comment: in the clause where {kai} is used the first unfilled place is applied to the noun that {kai} tags, the clause itself is the property characterizing the noun after {kai}; subject case tag.",kai,preposition from {ckaji},"@@@characterizing ..., with ... having this property@@@","in the clause where {kai} is used the first unfilled place is applied to the noun that {kai} tags, the clause itself is the property characterizing the noun after {kai}; subject case tag",preposition from {ckaji},,,,,BAI,yes,preposition,,characterizing ...,,,,,,
,---,ki'i,preposition from {ckini},"@@@as a relation of ...@@@, adverb: @@@relatively@@@",,preposition from {ckini},,,,,BAI,,preposition,,"as a relation of ..., relatively",,,"ckini modal, 1st place (related to) relatively; as a relation of ...",,---,ki'i,preposition from {ckini},"@@@as a relation of ...@@@, adverb: @@@relatively@@@",,preposition from {ckini},,,,,BAI,,preposition,,"as a relation of ..., relatively",,,,,,
ki'u,"
'''ki'u''' <small>[preposition from {krinu}]</small> — @@@because of reason ...@@@, adverb: @@@justifiably@@@
:'''i mi na ka'e tavla do i ki'u bo mi zvati le briju''' — ''I can't talk to you since I'm in the office.''",ki'u,preposition from {krinu},"@@@because of reason ...@@@, adverb: @@@justifiably@@@",,preposition from {krinu},,,,,BAI,yes,preposition,,"because of reason ..., justifiably",,,"krinu modal, 1st place (justified by) justifiably; because of reason ...",ki'u,"
'''ki'u''' <small>[preposition from {krinu}]</small> — @@@because of reason ...@@@, adverb: @@@justifiably@@@
:'''i mi na ka'e tavla do i ki'u bo mi zvati le mi'u briju''' — ''I can't talk to you since I'm in the office.''",ki'u,preposition from {krinu},"@@@because of reason ...@@@, adverb: @@@justifiably@@@",,preposition from {krinu},,,,,BAI,yes,preposition,,"because of reason ..., justifiably",,,,,,
,---,li'e,preposition from {lidne},@@@preceded by ...@@@,,preposition from {lidne},,,,,BAI,,preposition,,preceded by ...,,,"lidne modal, 1st place preceded by ...; non-time sequencing",,---,li'e,preposition from {lidne},@@@preceded by ...@@@,,preposition from {lidne},,,,,BAI,,preposition,,preceded by ...,,,,,,
,---,ma'i,preposition from {manri},@@@in reference frame ...@@@,,preposition from {manri},,,,,BAI,,preposition,,in reference frame ...,,,"manri modal, 1st place (by standard 2) in reference frame ...",,---,ma'i,preposition from {manri},@@@in reference frame ...@@@,,preposition from {manri},,,,,BAI,,preposition,,in reference frame ...,,,,,,
mau,"
'''mau''' <small>[preposition from {zmadu}]</small> — @@@with ... doing more@@@, @@@with ... being more@@@
:'''i nelci do fa mi ne mau ku'i la alis''' — ''I like you but Alice likes you more.''
:Comment: the clause itself describes the comparison.",mau,preposition from {zmadu},"@@@with ... doing more@@@, @@@with ... being more@@@",the clause itself describes the comparison,preposition from {zmadu},,,,,BAI,yes,preposition,,"with ... doing more, with ... being more",,,"zmadu modal, 1st place (a greater) exceeded by ... ; usually a sumti modifier",mau,"
'''mau''' <small>[preposition from {zmadu}]</small> — @@@with ... doing more@@@, @@@with ... being more@@@
:'''i nelci do fa mi ne mau ku'i la alis''' — ''I like you but Alice likes you more.''
:Comment: the clause itself describes the comparison.",mau,preposition from {zmadu},"@@@with ... doing more@@@, @@@with ... being more@@@",the clause itself describes the comparison,preposition from {zmadu},,,,,BAI,yes,preposition,,"with ... doing more, with ... being more",,,,,,
,---,me'e,preposition from {cmene},"@@@with name ...@@@, @@@called ...@@@",,preposition from {cmene},,,,,BAI,,preposition,,"with name ..., called ...",,,"cmene modal, 1st place (requires quote) with name ...; so-called ...",,---,me'e,preposition from {cmene},"@@@with name ...@@@, @@@called ...@@@",,preposition from {cmene},,,,,BAI,,preposition,,"with name ..., called ...",,,,,,
mu'i,"
'''mu'i''' <small>[preposition from {mukti}]</small> — @@@with the motive of ...@@@
:'''i mi pu penmi la alis mu'i lo ka ciksi ro da''' — ''I met Alice in order to explain everything.''",mu'i,preposition from {mukti},@@@with the motive of ...@@@,,preposition from {mukti},,,,,BAI,yes,preposition,,with the motive of ...,,,"mukti modal, 1st place because of motive ...",mu'i,"
'''mu'i''' <small>[preposition from {mukti}]</small> — @@@with the motive of ...@@@
:'''i mi pu penmi la alis mu'i le ka ciksi ro da''' — ''I met Alice in order to explain everything.''",mu'i,preposition from {mukti},@@@with the motive of ...@@@,,preposition from {mukti},,,,,BAI,yes,preposition,,with the motive of ...,,,,,,
,---,mu'u,preposition from {mupli},@@@exemplified by ...@@@,,preposition from {mupli},,,,,BAI,,preposition,,exemplified by ...,,,"mupli modal, 1st place exemplified by ...",,---,mu'u,preposition from {mupli},@@@exemplified by ...@@@,,preposition from {mupli},,,,,BAI,,preposition,,exemplified by ...,,,,,,
ni'i,"
'''ni'i''' <small>[preposition from {nibli}]</small> — @@@logically because ...@@@, adverb: @@@with logical implications@@@
:'''i do srera fau lo ka pilno lo datni pe mi i ni'i bo u'u mi pu te mu'i nai smusku lo jitfa''' — ''You are wrong when using my data just because (sorry!) I unintentionally said a false thing.''",ni'i,preposition from {nibli},"@@@logically because ...@@@, adverb: @@@with logical implications@@@",,preposition from {nibli},,,,,BAI,yes,preposition,,"logically because ..., logically",,,"nibli modal, 1st place logically; logically because ...",ni'i,"
'''ni'i''' <small>[preposition from {nibli}]</small> — @@@logically because ...@@@, adverb: @@@with logical implications@@@
:'''i do srera fau le ka pilno le datni pe mi i ni'i bo u'u mi pu te mu'i nai smusku le jitfa''' — ''You are wrong when using my data just because (sorry!) I unintentionally said a false thing.''",ni'i,preposition from {nibli},"@@@logically because ...@@@, adverb: @@@with logical implications@@@",,preposition from {nibli},,,,,BAI,yes,preposition,,"logically because ..., logically",,,,,,
pa'a,"
'''pa'a''' <small>[preposition from {panra}]</small> — @@@otherwise equal to ...@@@, adverb: @@@similarly@@@
:'''i le ninmu ne pa'a la alis cu se kanla lo crino''' — ''The woman is like Alice except that the woman has green eyes.''
:Comment: the clause itself describes the only difference between nouns compared.",pa'a,preposition from {panra},"@@@otherwise equal to ...@@@, adverb: @@@similarly@@@",the clause itself describes the only difference between nouns compared,preposition from {panra},,,,,BAI,yes,preposition,,"otherwise equal to ..., similarly",,,"panra modal, 1st place (parallel; shared property) similarly; in addition to ...",pa'a,"
'''pa'a''' <small>[preposition from {panra}]</small> — @@@otherwise equal to ...@@@, adverb: @@@similarly@@@
:'''i le mi'u ninmu ne pa'a la alis cu se kanla le crino''' — ''The woman is like Alice except that the woman has green eyes.''
:Comment: the clause itself describes the only difference between nouns compared.",pa'a,preposition from {panra},"@@@otherwise equal to ...@@@, adverb: @@@similarly@@@",the clause itself describes the only difference between nouns compared,preposition from {panra},,,,,BAI,yes,preposition,,"otherwise equal to ..., similarly",,,,,,
,---,pi'o,preposition from {pilno},@@@used by ...@@@,,preposition from {pilno},,,,,BAI,,preposition,,used by ...,,,"pilno modal, 1st place used by ...",,---,pi'o,preposition from {pilno},@@@used by ...@@@,,preposition from {pilno},,,,,BAI,,preposition,,used by ...,,,,,,
se ni'i,"
'''se ni'i''' <small>[preposition from {se} {nibli}]</small> — adverb: @@@logically therefore@@@
:'''i ro gerku cu danlu i se ni'i nai bo ro danlu cu gerku''' — ''All dogs are animals. However, it doesn't follow from that that all animals are dogs.''
:'''i mi pu na zvati le tcadu i se ni'i bo na ku ka'e ku mi penmi la kevin''' — ''I wasn't in the city so I couldn't meet Kevin.''",se ni'i,preposition from {se} {nibli},adverb: @@@logically therefore@@@,,preposition from {nibli},,,,,BAI*,yes,preposition,,"logically because ..., logically",,,"nibli modal, 1st place logically; logically because ...",se ni'i,"
'''se ni'i''' <small>[preposition from {se} {nibli}]</small> — adverb: @@@logically therefore@@@
:'''i ro gerku cu danlu i se ni'i nai bo ro danlu cu gerku''' — ''All dogs are animals. However, it doesn't follow from that that all animals are dogs.''
:'''i mi pu na zvati le mi'u tcadu i se ni'i bo na ku ka'e ku mi penmi la kevin''' — ''I wasn't in the city so I couldn't meet Kevin.''",se ni'i,preposition from {se} {nibli},adverb: @@@logically therefore@@@,,preposition from {nibli},,,,,BAI*,yes,preposition,,"logically because ..., logically",,,,,,
,---,se ra'a,preposition from {se} {srana},@@@related to ...@@@,,preposition from {se} {srana},,,,,BAI*,,preposition,,related to ...,,,"srana modal, 1st place pertained to by ... (generally more specific)",,---,se ra'a,preposition from {se} {srana},@@@related to ...@@@,,preposition from {se} {srana},,,,,BAI*,,preposition,,related to ...,,,,,,
ra'i,"
'''ra'i''' <small>[preposition from {krasi}]</small> — @@@beginning from ...@@@
:'''i mi pu ganse lo pluka panci pe ra'i le purdi''' — ''I felt a pleasant smell from the garden.''",ra'i,preposition from {krasi},@@@beginning from ...@@@,,preposition from {krasi},,,,,BAI,yes,preposition,,beginning from ...,,,"krasi modal, 1st place from source/origin/starting point ...",ra'i,"
'''ra'i''' <small>[preposition from {krasi}]</small> — @@@beginning from ...@@@
:'''i mi pu ganse le pluka panci pe ra'i le mi'u purdi''' — ''I felt a pleasant smell from the garden.''",ra'i,preposition from {krasi},@@@beginning from ...@@@,,preposition from {krasi},,,,,BAI,yes,preposition,,beginning from ...,,,,,,
te rai,"
'''te rai''' <small>[preposition from {te} {traji}]</small> — @@@preferring out of ...@@@
:'''i lo fragari cu se nelci mi te rai lo jbari''' — ''Out of berries, I like strawberries most.''
:Comment: x<sub>1</sub> of the clause describes the most one in this comparison, the clause itself describes the comparison.",te rai,preposition from {te} {traji},@@@preferring out of ...@@@,"x<sub>1</sub> of the clause describes the most one in this comparison, the clause itself describes the comparison",preposition from {te} {traji},,,,,BAI*,yes,preposition,,preferring out of ...,,,"traji modal, 1st place with superlative ...",te rai,"
'''te rai''' <small>[preposition from {te} {traji}]</small> — @@@preferring out of ...@@@
:'''i le fragari cu se nelci mi te rai le jbari''' — ''Out of berries, I like strawberries most.''
:Comment: x<sub>1</sub> of the clause describes the most one in this comparison, the clause itself describes the comparison.",te rai,preposition from {te} {traji},@@@preferring out of ...@@@,"x<sub>1</sub> of the clause describes the most one in this comparison, the clause itself describes the comparison",preposition from {te} {traji},,,,,BAI*,yes,preposition,,preferring out of ...,,,,,,
se rai,"
'''se rai''' <small>[preposition from {se} {traji}]</small> — @@@being most in ...@@@
:'''i mi ro roi jinga se rai lo ka clani''' — ''I always win being the tallest one.''
:Comment: x<sub>1</sub> of the clause corresponds to the most one in comparison specified after {se} {rai}.",se rai,preposition from {se} {traji},@@@being most in ...@@@,x<sub>1</sub> of the clause corresponds to the most one in comparison specified after {se} {rai},preposition from {se} {traji},,,,,BAI*,yes,preposition,,being most in ...,,,"traji modal, 1st place with superlative ...",se rai,"
'''se rai''' <small>[preposition from {se} {traji}]</small> — @@@being most in ...@@@
:'''i mi ro roi jinga se rai le ka clani''' — ''I always win being the tallest one.''
:Comment: x<sub>1</sub> of the clause corresponds to the most one in comparison specified after {se} {rai}.",se rai,preposition from {se} {traji},@@@being most in ...@@@,x<sub>1</sub> of the clause corresponds to the most one in comparison specified after {se} {rai},preposition from {se} {traji},,,,,BAI*,yes,preposition,,being most in ...,,,,,,
rai,"
'''rai''' <small>[preposition from {traji}]</small> — @@@with the most one being ...@@@
:'''i mi nelci lo jbari ne rai lo fragari''' — ''I like berries with strawberries being my favorite ones.''
:Comment: x<sub>1</sub> of the clause describes the most one in the comparison described by clause itself. The noun after {rai} describes those among which the selection is done.",rai,preposition from {traji},@@@with the most one being ...@@@,x<sub>1</sub> of the clause describes the most one in the comparison described by clause itself. The noun after {rai} describes those among which the selection is done,preposition from {traji},,,,,BAI,yes,preposition,,with the most one being ...,,,"traji modal, 1st place with superlative ...",rai,"
'''rai''' <small>[preposition from {traji}]</small> — @@@with the most one being ...@@@
:'''i mi nelci le jbari ne rai le fragari''' — ''I like berries with strawberries being my favorite ones.''
:Comment: x<sub>1</sub> of the clause describes the most one in the comparison described by clause itself. The noun after {rai} describes those among which the selection is done.",rai,preposition from {traji},@@@with the most one being ...@@@,x<sub>1</sub> of the clause describes the most one in the comparison described by clause itself. The noun after {rai} describes those among which the selection is done,preposition from {traji},,,,,BAI,yes,preposition,,with the most one being ...,,,,,,
